"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"CreateThread","External[0000b1b8]","External Function","KERNEL32.DLL","Imported","2","0"
"ExitProcess","External[0000b1c6]","External Function","KERNEL32.DLL","Imported","2","0"
"GetModuleHandleA","External[0000b1d4]","External Function","KERNEL32.DLL","Imported","2","0"
"GetTickCount","External[0000b1e6]","External Function","KERNEL32.DLL","Imported","2","0"
"OutputDebugStringA","External[0000b1f4]","External Function","KERNEL32.DLL","Imported","4","0"
"SetThreadPriority","External[0000b208]","External Function","KERNEL32.DLL","Imported","2","0"
"Sleep","External[0000b21c]","External Function","KERNEL32.DLL","Imported","2","0"
"VirtualAlloc","External[0000b224]","External Function","KERNEL32.DLL","Imported","2","0"
"VirtualFree","External[0000b232]","External Function","KERNEL32.DLL","Imported","25","0"
"WaitForSingleObject","External[0000b240]","External Function","KERNEL32.DLL","Imported","2","0"
"DirectDrawCreate","External[0000b256]","External Function","DDRAW.DLL","Imported","2","0"
"CheckDlgButton","External[0000b268]","External Function","USER32.DLL","Imported","7","0"
"CreateWindowExA","External[0000b278]","External Function","USER32.DLL","Imported","2","0"
"DefWindowProcA","External[0000b28a]","External Function","USER32.DLL","Imported","2","0"
"DialogBoxParamA","External[0000b29a]","External Function","USER32.DLL","Imported","2","0"
"DispatchMessageA","External[0000b2ac]","External Function","USER32.DLL","Imported","2","0"
"EndDialog","External[0000b2be]","External Function","USER32.DLL","Imported","2","0"
"GetMessageA","External[0000b2ca]","External Function","USER32.DLL","Imported","2","0"
"IsDlgButtonChecked","External[0000b2d8]","External Function","USER32.DLL","Imported","7","0"
"PeekMessageA","External[0000b2ec]","External Function","USER32.DLL","Imported","2","0"
"RegisterClassA","External[0000b2fa]","External Function","USER32.DLL","Imported","2","0"
"ShowCursor","External[0000b30a]","External Function","USER32.DLL","Imported","3","0"
"TranslateMessage","External[0000b316]","External Function","USER32.DLL","Imported","2","0"
"UpdateWindow","External[0000b328]","External Function","USER32.DLL","Imported","2","0"
"ValidateRect","External[0000b336]","External Function","USER32.DLL","Imported","2","0"
"timeKillEvent","External[0000b344]","External Function","WINMM.DLL","Imported","2","0"
"timeSetEvent","External[0000b354]","External Function","WINMM.DLL","Imported","2","0"
"DSoundCreate","External[80000001]","External Function","DSOUND.DLL","User Defined","2","0"
"dlgproc","00401000","Function","Global","User Defined","3","0"
"init_ddraw","00401156","Function","Global","User Defined","1","0"
"ddraw_shutdown","0040148c","Function","Global","User Defined","1","0"
"draw","00401529","Function","Global","User Defined","1","0"
"FUN_00401a5a","00401a5a","Function","Global","Default","1","0"
"alloc","00401a60","Function","Global","User Defined","28","0"
"FUN_00401a78","00401a78","Function","Global","Default","3","0"
"create_window2","00401af2","Function","Global","User Defined","1","0"
"create_window","00401b35","Function","Global","User Defined","1","0"
"pump_messages","00401bb3","Function","Global","User Defined","1","0"
"timer_proc","00401bff","Function","Global","User Defined","1","0"
"init_timer","00401cc9","Function","Global","User Defined","1","0"
"state_from_timer","00401d0f","Function","Global","User Defined","1","0"
"FUN_00401deb","00401deb","Function","Global","Default","5","0"
"FUN_00401ff6","00401ff6","Function","Global","Default","3","0"
"FUN_004021ff","004021ff","Function","Global","Default","1","0"
"FUN_00402893","00402893","Function","Global","Default","1","0"
"FUN_00402f03","00402f03","Function","Global","Default","2","0"
"FUN_00403202","00403202","Function","Global","Default","3","0"
"FUN_00403340","00403340","Function","Global","Default","1","0"
"FUN_00403377","00403377","Function","Global","Default","6","0"
"FUN_004033b9","004033b9","Function","Global","Default","1","0"
"FUN_004033fc","004033fc","Function","Global","Default","1","0"
"FUN_004034bd","004034bd","Function","Global","Default","6","0"
"FUN_00403737","00403737","Function","Global","Default","3","0"
"FUN_00403837","00403837","Function","Global","Default","1","0"
"FUN_00403a5e","00403a5e","Function","Global","Default","7","0"
"FUN_00403d06","00403d06","Function","Global","Default","3","0"
"FUN_00404570","00404570","Function","Global","Default","1","0"
"FUN_004045ac","004045ac","Function","Global","Default","1","0"
"FUN_004046ea","004046ea","Function","Global","Default","2","0"
"FUN_004047e9","004047e9","Function","Global","Default","1","0"
"FUN_00404a00","00404a00","Function","Global","Default","1","0"
"FUN_00404a91","00404a91","Function","Global","Default","1","0"
"FUN_00404ceb","00404ceb","Function","Global","Default","2","0"
"FUN_00404fad","00404fad","Function","Global","Default","2","0"
"FUN_004051d5","004051d5","Function","Global","Default","1","0"
"FUN_00405337","00405337","Function","Global","Default","1","0"
"FUN_004053fc","004053fc","Function","Global","Default","1","0"
"FUN_00405650","00405650","Function","Global","Default","2","0"
"FUN_004056e3","004056e3","Function","Global","Default","1","0"
"FUN_00405771","00405771","Function","Global","Default","1","0"
"FUN_00405808","00405808","Function","Global","Default","1","0"
"FUN_00405889","00405889","Function","Global","Default","1","0"
"FUN_004058d8","004058d8","Function","Global","Default","1","0"
"FUN_0040595f","0040595f","Function","Global","Default","1","0"
"FUN_00405a15","00405a15","Function","Global","Default","1","0"
"FUN_00405a4e","00405a4e","Function","Global","Default","1","0"
"FUN_00405b0e","00405b0e","Function","Global","Default","2","0"
"FUN_00405bdb","00405bdb","Function","Global","Default","2","0"
"FUN_00405cfb","00405cfb","Function","Global","Default","1","0"
"FUN_00405e69","00405e69","Function","Global","Default","1","0"
"FUN_00405f04","00405f04","Function","Global","Default","2","0"
"FUN_00406050","00406050","Function","Global","Default","1","0"
"FUN_004060b3","004060b3","Function","Global","Default","2","0"
"FUN_00406160","00406160","Function","Global","Default","2","0"
"FUN_004061df","004061df","Function","Global","Default","2","0"
"FUN_00406305","00406305","Function","Global","Default","1","0"
"FUN_00406452","00406452","Function","Global","Default","1","0"
"FUN_00406654","00406654","Function","Global","Default","1","0"
"FUN_00406684","00406684","Function","Global","Default","1","0"
"FUN_004067f0","004067f0","Function","Global","Default","1","0"
"FUN_00406884","00406884","Function","Global","Default","1","0"
"FUN_00406c2b","00406c2b","Function","Global","Default","1","0"
"FUN_00406c53","00406c53","Function","Global","Default","4","0"
"FUN_00406c9a","00406c9a","Function","Global","Default","1","0"
"FUN_00407315","00407315","Function","Global","Default","1","0"
"FUN_0040750b","0040750b","Function","Global","Default","3","0"
"FUN_0040760b","0040760b","Function","Global","Default","4","0"
"FUN_004076ea","004076ea","Function","Global","Default","1","0"
"math","00407ad4","Function","Global","User Defined","1","0"
"entry","004085dd","Thunk Function","Global","Imported","2","0"
"allocs_computes","004085e2","Function","Global","User Defined","1","0"
"FUN_004086b4","004086b4","Function","Global","Default","1","0"
"FUN_0040874c","0040874c","Function","Global","Default","2","0"
"FUN_00408838","00408838","Function","Global","Default","69","0"
"FUN_00408839","00408839","Function","Global","Default","0","0"
"FUN_00408860","00408860","Function","Global","Default","1","0"
"FUN_004088a6","004088a6","Function","Global","Default","2","0"
"FUN_004089ad","004089ad","Function","Global","Default","1","0"
"FUN_00408a76","00408a76","Function","Global","Default","1","0"
"FUN_00408bdc","00408bdc","Function","Global","Default","1","0"
"FUN_00408c4f","00408c4f","Function","Global","Default","1","0"
"FUN_00408d65","00408d65","Function","Global","Default","1","0"
"FUN_00408db0","00408db0","Function","Global","Default","1","0"
"FUN_00409039","00409039","Function","Global","Default","1","0"
"use_thisptr_thunk","004090c7","Thunk Function","Global","User Defined","6","0"
"use_thisptr","004090cc","Function","Global","User Defined","2","0"
"thunk_FUN_004090d9","004090d4","Thunk Function","Global","Default","1","0"
"FUN_004090d9","004090d9","Function","Global","Default","2","0"
"FUN_0040912a","0040912a","Function","Global","Default","1","0"
"FUN_004091ca","004091ca","Function","Global","Default","3","0"
"FUN_00409226","00409226","Function","Global","Default","1","0"
"FUN_00409400","00409400","Function","Global","Default","0","0"
"FUN_0040940b","0040940b","Function","Global","Default","1","0"
"FUN_00409416","00409416","Function","Global","Default","1","0"
"FUN_00409424","00409424","Function","Global","Default","1","0"
"FUN_00409435","00409435","Function","Global","Default","0","0"
"FUN_00409436","00409436","Function","Global","Default","0","0"
"FUN_00409445","00409445","Function","Global","Default","0","0"
"FUN_004094fa","004094fa","Function","Global","Default","0","0"
"FUN_0040950a","0040950a","Function","Global","Default","0","0"
"FUN_00409696","00409696","Function","Global","Default","0","0"
"FUN_00409715","00409715","Function","Global","Default","0","0"
"FUN_00409728","00409728","Function","Global","Default","0","0"
"FUN_00409739","00409739","Function","Global","Default","0","0"
"thunk_FUN_00409b47","00409b42","Thunk Function","Global","Default","4","0"
"FUN_00409b47","00409b47","Function","Global","Default","2","0"
"FUN_00409b58","00409b58","Function","Global","Default","1","0"
"init_this","00409edf","Function","Global","User Defined","1","0"
"FUN_00409f49","00409f49","Function","Global","Default","1","0"
"sound_pushad","0040a260","Function","Global","User Defined","3","0"
"init_sound","0040a281","Function","Global","User Defined","1","0"
"sound_shutdown","0040a38a","Function","Global","User Defined","2","0"
"release","0040a3b4","Function","Global","User Defined","2","0"
"sound_thread_proc","0040a3c1","Function","Global","User Defined","1","0"
"SetThreadPriority","0040a550","Thunk Function","KERNEL32.DLL","Default","1","0"
"DSoundCreate","0040a556","Thunk Function","DSOUND.DLL","Default","1","0"
"Sleep","0040a55c","Thunk Function","KERNEL32.DLL","Default","1","0"
"WaitForSingleObject","0040a562","Thunk Function","KERNEL32.DLL","Default","1","0"
"CreateThread","0040a568","Thunk Function","KERNEL32.DLL","Default","1","0"
"DirectDrawCreate","0040a56e","Thunk Function","DDRAW.DLL","Default","1","0"
"exit_loop","0040c72c","Data Label","Global","User Defined","3","0"
"hwnd","0040c73b","Data Label","Global","User Defined","5","0"
"exit2","0040c73f","Data Label","Global","User Defined","6","0"
"exit1","0040c743","Data Label","Global","User Defined","9","0"
"timer_x1","0040c747","Data Label","Global","User Defined","4","0"
"timer_counnter","0040c74b","Data Label","Global","User Defined","4","0"
"pixelbuf","00433020","Data Label","Global","User Defined","9","0"
"ddraw","00433024","Data Label","Global","User Defined","19","0"
"ddrawsurface","00433028","Data Label","Global","User Defined","10","0"
"wndclass","00433e00","Data Label","Global","User Defined","2","9"
"start_time","00433f7c","Data Label","Global","User Defined","2","0"
"hTimer","00433f80","Data Label","Global","User Defined","2","0"
"elapsed","00433f84","Data Label","Global","User Defined","12","0"
"hinst","00433f88","Data Label","Global","User Defined","2","0"
"thisptr","004377b4","Data Label","Global","User Defined","2","0"
"soundbuf","004377b8","Data Label","Global","User Defined","9","0"
"soundbuf_primary","004377bc","Data Label","Global","User Defined","4","0"
"dsound","004377c0","Data Label","Global","User Defined","4","0"
"quit_thread","004377c4","Data Label","Global","User Defined","2","0"
"hThread","004377c8","Data Label","Global","User Defined","2","0"
"lock1","004377cc","Data Label","Global","User Defined","9","0"
"len1","004377d0","Data Label","Global","User Defined","8","0"
"lock2","004377d4","Data Label","Global","User Defined","9","0"
"len2","004377d8","Data Label","Global","User Defined","8","0"
"play_cursor","004377e0","Data Label","Global","User Defined","3","0"
"last_ofs","004377e4","Data Label","Global","User Defined","3","0"
"thread_param","004377e8","Data Label","Global","User Defined","2","0"
"Rsrc_Dialog_OURDIALOG_0","004c906c","Data Label","Global","Imported","0","0"
